index,Skills,alpha
1,python,A
2,sql,B
3,spark,C
4,aws,D
5,azure,E
6,tableau,F
7,gcp,G
8,git,H
9,docker,I
10,java,J
11,mongodb,K
12,airflow,L
13,scala,M
14,kafka,N
15,snowflake,O
16,r,P
17,nosql,Q
18,jenkins,R
19,hadoop,S
20,excel,T
21,bigquery,U
22,kubernetes,V
23,go,W
24,looker,X
25,power bi,Y
26,windows,Z
27,tensorflow,AA
28,redshift,AB
29,databricks,AC
30,terraform,AD
31,sas,AE
32,pytorch,AF
33,pyspark,AG
34,pandas,AH
35,github,AI
36,elasticsearch,AJ
37,c++,AK
38,ansible,AL
39,sap,AM
40,postgresql,AN
41,linux,AO
42,sql server,AP
43,scikit-learn,AQ
44,keras,AR
45,flow,AS
46,cassandra,AT
47,ruby,AU
48,qlik,AV
49,powerpoint,AW
50,oracle,AX
51,numpy,AY
52,mysql,AZ
53,matplotlib,BA
54,ssis,BB
55,perl,BC
56,jira,BD
57,gitlab,BE
58,gdpr,BF
59,chef,BG
60,vba,BH
61,matlab,BI
62,jupyter,BJ
63,unix,BK
64,react,BL
65,node.js,BM
66,kotlin,BN
67,julia,BO
68,express,BP
69,c#,BQ
70,angular,BR
71,word,BS
72,visio,BT
73,unreal,BU
74,ssrs,BV
75,shell,BW
76,redis,BX
77,npm,BY
78,nltk,BZ
79,javascript,CA
80,graphql,CB
81,c,CC
82,assembly,CD
83,typescript,CE
84,spring,CF
85,slack,CG
86,sheets,CH
87,sharepoint,CI
88,powershell,CJ
89,php,CK
90,opencv,CL
91,neo4j,CM
92,hugging face,CN
93,html,CO
94,groovy,CP
95,flask,CQ
96,dax,CR
97,confluence,CS
98,bitbucket,CT
99,bash,CU
100,atlassian,CV
101,zoom,CW
102,yarn,CX
103,vue,CY
104,unify,CZ
105,t-sql,DA
106,swift,DB
107,spreadsheet,DC
108,splunk,DD
109,rshiny,DE
110,pulumi,DF
111,plotly,DG
112,phoenix,DH
113,outlook,DI
114,mongo,DJ
115,ibm cloud,DK
116,golang,DL
117,ggplot2,DM
118,firebase,DN
119,fastapi,DO
120,dynamodb,DP
121,css,DQ
122,crystal,DR
123,cognos,DS
124,alteryx,DT
125,vue.js,DU
126,unity,DV
127,ubuntu,DW
128,twilio,DX
129,trello,DY
130,tidyverse,DZ
131,theano,EA
132,terminal,EB
133,symphony,EC
134,svn,ED
135,spss,EE
136,solidity,EF
137,smartsheet,EG
138,selenium,EH
139,seaborn,EI
140,sass,EJ
141,rust,EK
142,ruby on rails,EL
143,redhat,EM
144,puppet,EN
145,pascal,EO
146,openstack,EP
147,notion,EQ
148,node,ER
149,no-sql,ES
150,mxnet,ET
151,ms access,EU
152,microstrategy,EV
153,mariadb,EW
154,macos,EX
155,jquery,EY
156,flutter,EZ
157,firestore,FA
158,elixir,FB
159,dplyr,FC
160,django,FD
161,debian,FE
162,datarobot,FF
163,couchdb,FG
164,centos,FH
165,blazor,FI
166,aurora,FJ
167,asp.net,FK
168,asana,FL
